,miRNA,Target
95,hsa-miR-369-3p,CYP26B1
96,hsa-miR-188-5p/hsa-miR-6866-3p,BAIAP2L1
97,hsa-miR-221-3p/hsa-miR-222-3p,CNOT2
98,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,LRRC15
99,hsa-miR-361-5p,PDK4
100,hsa-miR-377-3p,SYT13
101,hsa-miR-224-5p,HOXA11
102,hsa-miR-7-5p,SPATA2
103,hsa-miR-126-3p.1,SLC7A5
104,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,PDE7A
105,hsa-miR-6835-3p,SENP1
106,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,PAPPA
107,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,SH3PXD2A
108,hsa-miR-496.2,TBX15
109,hsa-miR-196a-5p/hsa-miR-196b-5p,NR6A1
110,hsa-miR-3529-5p/hsa-miR-379-5p,TXNL1
111,hsa-miR-374c-5p/hsa-miR-655-3p,RANBP9
112,hsa-miR-219a-2-3p,AQR
113,hsa-miR-194-5p,SATB1
114,hsa-miR-199a-5p/hsa-miR-199b-5p,RNF11
115,hsa-miR-28-3p,NUTF2
116,hsa-miR-140-5p,WNT9A
117,hsa-miR-342-3p,CYP26B1
118,hsa-miR-192-5p/hsa-miR-215-5p,CHD7
119,hsa-miR-409-3p,NFE2L3
120,hsa-miR-382-3p,B4GALT7
121,hsa-miR-483-3p.1,CPD
122,hsa-miR-324-5p,SHPK
123,hsa-miR-411-5p.1,NFE2L3
124,hsa-miR-1224-5p,CCDC80
125,hsa-miR-150-5p,CDK13
126,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,SLC2A3
127,hsa-miR-136-5p,HS3ST1
128,hsa-miR-151a-3p,FSTL3
129,hsa-miR-873-5p.1,HOXC8
130,hsa-miR-486-5p,CELSR3
131,hsa-miR-1306-5p,SMC1A
132,hsa-miR-491-5p,CYP26B1
133,hsa-miR-33a-5p/hsa-miR-33b-5p,ABCA1
134,hsa-miR-544a,NFE2L3
135,hsa-miR-425-5p,NUFIP2
136,hsa-miR-1249-3p,HOXA13
137,hsa-miR-330-3p,RALA
138,hsa-miR-379-3p/hsa-miR-411-3p,CBX5
139,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,CYP26B1
140,hsa-miR-532-3p,CYP26B1
141,hsa-miR-668-3p,NTN1
142,hsa-miR-371a-5p,COX15
143,hsa-miR-448,HOXA11
144,hsa-miR-338-3p,UBE2Q1
145,hsa-miR-873-5p.2,CYP26B1
146,hsa-miR-205-5p,TP53BP2
147,hsa-miR-326/hsa-miR-330-5p,YBX2
148,hsa-miR-216a-5p,AQP2
149,hsa-miR-154-3p/hsa-miR-487a-3p,TRIB2
150,hsa-miR-149-5p,M6PR
151,hsa-miR-1193/hsa-miR-370-5p,AQP2
152,hsa-miR-214-5p,TWIST1
153,hsa-miR-542-3p,AKAP11
154,hsa-miR-494-3p,BCAP29
155,hsa-miR-504-5p.1,FKBP4
156,hsa-miR-191-5p,AMMECR1L
157,hsa-miR-431-5p,PIGV
158,hsa-miR-384,SENP1
159,hsa-miR-375,QKI
160,hsa-miR-376c-3p,SENP1
161,hsa-miR-383-5p.2,ANKH
162,hsa-miR-217/hsa-miR-6807-3p,PROX1
163,hsa-miR-1251-5p,AQR
164,hsa-miR-3064-5p/hsa-miR-6504-5p,CELF1
165,hsa-miR-409-5p,APPBP2
166,hsa-miR-362-5p,GSR
167,hsa-miR-193a-3p/hsa-miR-193b-3p,FLI1
168,hsa-miR-411-5p.2,SNAP29
169,hsa-miR-488-3p,NIPAL3
170,hsa-miR-296-3p,FKBP4
171,hsa-miR-335-5p,BPIFB2
172,hsa-miR-877-5p,PRDM4
173,hsa-miR-299-3p,NGFR
174,hsa-miR-154-5p,CDK13
175,hsa-miR-296-5p,PPP2R5B
176,hsa-miR-346,PDZD4
177,hsa-miR-382-5p,APPBP2
178,hsa-miR-153-3p,NFIC
179,hsa-miR-670-3p,GNA11
180,hsa-miR-212-5p,GAN
181,hsa-miR-186-5p,RB1CC1
182,hsa-miR-532-5p,PSMD5
183,hsa-miR-875-5p,APPBP2
184,hsa-miR-505-3p.2,RANBP9
185,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,BCAP29
186,hsa-miR-760,B4GALT7
187,hsa-miR-3184-5p/hsa-miR-423-5p,FKBP4
188,hsa-miR-1197,SEMA4G
189,hsa-miR-485-3p/hsa-miR-539-3p,SENP1
190,hsa-miR-339-5p,HOXA11
191,hsa-miR-665,YBX2
192,hsa-miR-451a,PSMD11
193,hsa-miR-187-3p,LRFN1
194,hsa-miR-328-3p,CTNS
195,hsa-miR-493-3p,CDC27
196,hsa-miR-412-5p,NLRP1
197,hsa-miR-134-5p/hsa-miR-3118,CDK13
198,hsa-miR-147b,DIMT1
199,hsa-miR-503-5p,FGF2
200,hsa-miR-485-5p/hsa-miR-6884-5p,FKBP4
201,hsa-miR-874-3p,PPP5C
202,hsa-miR-329-3p/hsa-miR-362-3p,PANX2
203,hsa-miR-652-3p,ISL1
204,hsa-miR-133a-3p.1,GDNF
205,hsa-miR-450a-5p,GDNF
206,hsa-miR-487b-3p,GLCCI1
207,hsa-miR-331-3p,XYLT2
208,hsa-miR-184,ALDH4A1
209,hsa-miR-615-3p,PSMD11
210,hsa-miR-210-3p,FGFRL1
211,hsa-miR-126-3p.2,KANK2
212,hsa-miR-127-3p,ZC3H4
213,hsa-miR-758-3p,NFE2L3
214,hsa-miR-423-3p,PABPC1
215,hsa-miR-744-5p,PPP5C
216,hsa-miR-490-3p,HNRNPA1
217,hsa-miR-151a-5p/hsa-miR-151b,N4BP1
218,hsa-miR-551a/hsa-miR-551b-3p,MEF2C
219,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,CAMK1G
220,hsa-miR-193a-5p,SENP1
221,hsa-miR-182-5p,ROCK1
222,hsa-miR-101-3p.2,ZFP36L2
223,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,ZBTB20
224,hsa-miR-9-5p,ONECUT2
225,hsa-miR-1271-5p/hsa-miR-96-5p,NOVA2
226,hsa-miR-493-5p,PDK4
227,hsa-miR-499a-5p,QKI
228,hsa-miR-208a-3p/hsa-miR-208b-3p,QKI
229,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,SZRD1
230,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,BRMS1L
231,hsa-miR-340-5p,CYP26B1
232,hsa-miR-142-3p.2,MAP4K3
233,hsa-miR-144-3p,SAMD12
234,hsa-miR-27a-3p/hsa-miR-27b-3p,NPEPPS
235,hsa-miR-145-5p/hsa-miR-5195-3p,FSCN1
236,hsa-miR-101-3p.1,MAPK1
237,hsa-miR-141-3p/hsa-miR-200a-3p,ZFAND5
238,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,PPARGC1B
239,hsa-miR-124-3p.1,PLEKHM3
240,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,TNPO1
241,hsa-miR-300/hsa-miR-381-3p,DVL2
242,hsa-miR-133a-3p.2/hsa-miR-133b,GDI2
243,hsa-miR-129-5p,CAMK2N1
244,hsa-miR-140-3p.1,CELF2
245,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,RDH10
246,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,SNTB2
247,hsa-miR-183-5p.2,TBX15
248,hsa-miR-323a-3p,MAP4K5
249,hsa-miR-31-5p,STK40
250,hsa-miR-129-1-3p/hsa-miR-129-2-3p,DGKI
251,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,TNKS2
252,hsa-miR-3167/hsa-miR-876-5p,HS3ST1
253,hsa-miR-183-5p.1,KCNK10
254,hsa-miR-135a-5p/hsa-miR-135b-5p,SP3
255,hsa-miR-124-3p.2/hsa-miR-506-3p,ZBTB20
256,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,SCN2B
257,hsa-miR-142-5p/hsa-miR-5590-3p,PLEKHA3
258,hsa-miR-802,DNAJB4
259,hsa-miR-421,CLDN11
260,hsa-miR-103a-3p/hsa-miR-107,DICER1
261,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,CPEB3
262,hsa-miR-582-5p,MKRN2
263,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,PI15
264,hsa-miR-495-3p/hsa-miR-5688,CYP26B1
265,hsa-miR-138-5p,GGCX
266,hsa-miR-299-5p,TLL1
267,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,RORB
268,hsa-miR-137,GUCY1A2
269,hsa-miR-203a-3p.1,RASAL2
270,hsa-miR-190a-5p/hsa-miR-190b,KPNA4
271,hsa-miR-21-5p/hsa-miR-590-5p,GATAD2B
272,hsa-miR-155-5p,FGF7
273,hsa-miR-501-3p/hsa-miR-502-3p,CLDN11
274,hsa-miR-455-3p.1,NFIB
275,hsa-miR-10a-5p/hsa-miR-10b-5p,CREB1
276,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,PTEN
277,hsa-miR-410-3p,HS3ST1
278,hsa-miR-543,M6PR
279,hsa-miR-302c-3p.2/hsa-miR-520f-3p,CYP26B1
280,hsa-miR-122-5p,MASP1
281,hsa-miR-142-3p.1,ITPKB
282,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,GCNT1
283,hsa-miR-140-3p.2,CBL
284,hsa-miR-374a-5p/hsa-miR-374b-5p,CYP26B1
285,hsa-miR-132-3p/hsa-miR-212-3p,ZBTB20
286,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,AGO2
287,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,PAK4
288,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,QKI
289,hsa-miR-325-3p,FKBP4
290,hsa-miR-489-3p,SHISA7
291,hsa-miR-365a-3p/hsa-miR-365b-3p,SRGAP1
292,hsa-miR-223-3p,MMP16
293,hsa-miR-653-5p,BCAP29
294,hsa-miR-139-5p,ZBTB20
295,hsa-miR-505-3p.1,OTUD5
296,hsa-miR-218-5p,ONECUT2
297,hsa-miR-202-5p,NIPAL3
298,hsa-miR-483-3p.2,MYH9
299,hsa-miR-24-3p,BCL2L11
300,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,ZBTB20
301,hsa-miR-1298-5p,CYP51A1
302,hsa-miR-204-5p/hsa-miR-211-5p,MLXIP
303,hsa-miR-433-3p,STARD3NL
304,hsa-miR-376a-3p/hsa-miR-376b-3p,HOXC8
305,hsa-miR-216b-5p,SP4
306,hsa-miR-22-3p,KDM3A
307,hsa-miR-383-5p.1,NCKAP1
308,hsa-miR-203a-3p.2,SLC8A1
309,hsa-miR-455-3p.2,HIPK3
310,hsa-miR-19a-3p/hsa-miR-19b-3p,ZMYND11
311,hsa-miR-455-5p,ZFAND5
312,hsa-miR-496.1,CYP26B1
313,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,REXO1
314,hsa-miR-369-3p,CYP26B1
315,hsa-miR-188-5p/hsa-miR-6866-3p,BAIAP2L1
316,hsa-miR-221-3p/hsa-miR-222-3p,CNOT2
317,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,LRRC15
318,hsa-miR-361-5p,PDK4
319,hsa-miR-377-3p,SYT13
320,hsa-miR-224-5p,HOXA11
321,hsa-miR-7-5p,SPATA2
322,hsa-miR-126-3p.1,SLC7A5
323,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,PDE7A
324,hsa-miR-6835-3p,SENP1
325,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,PAPPA
326,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,SH3PXD2A
327,hsa-miR-496.2,TBX15
328,hsa-miR-196a-5p/hsa-miR-196b-5p,NR6A1
329,hsa-miR-3529-5p/hsa-miR-379-5p,TXNL1
330,hsa-miR-374c-5p/hsa-miR-655-3p,RANBP9
331,hsa-miR-219a-2-3p,AQR
332,hsa-miR-194-5p,SATB1
333,hsa-miR-199a-5p/hsa-miR-199b-5p,RNF11
334,hsa-miR-28-3p,NUTF2
335,hsa-miR-140-5p,WNT9A
336,hsa-miR-342-3p,CYP26B1
337,hsa-miR-192-5p/hsa-miR-215-5p,CHD7
338,hsa-miR-409-3p,NFE2L3
339,hsa-miR-382-3p,B4GALT7
340,hsa-miR-483-3p.1,CPD
341,hsa-miR-324-5p,SHPK
342,hsa-miR-411-5p.1,NFE2L3
343,hsa-miR-1224-5p,CCDC80
344,hsa-miR-150-5p,CDK13
345,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,SLC2A3
346,hsa-miR-136-5p,HS3ST1
347,hsa-miR-151a-3p,FSTL3
348,hsa-miR-873-5p.1,HOXC8
349,hsa-miR-486-5p,CELSR3
350,hsa-miR-1306-5p,SMC1A
351,hsa-miR-491-5p,CYP26B1
352,hsa-miR-33a-5p/hsa-miR-33b-5p,ABCA1
353,hsa-miR-544a,NFE2L3
354,hsa-miR-425-5p,NUFIP2
355,hsa-miR-1249-3p,HOXA13
356,hsa-miR-330-3p,RALA
357,hsa-miR-379-3p/hsa-miR-411-3p,CBX5
358,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,CYP26B1
359,hsa-miR-532-3p,CYP26B1
360,hsa-miR-668-3p,NTN1
361,hsa-miR-371a-5p,COX15
362,hsa-miR-448,HOXA11
363,hsa-miR-338-3p,UBE2Q1
364,hsa-miR-873-5p.2,CYP26B1
365,hsa-miR-205-5p,TP53BP2
366,hsa-miR-326/hsa-miR-330-5p,YBX2
367,hsa-miR-216a-5p,AQP2
368,hsa-miR-154-3p/hsa-miR-487a-3p,TRIB2
369,hsa-miR-149-5p,M6PR
370,hsa-miR-1193/hsa-miR-370-5p,AQP2
371,hsa-miR-214-5p,TWIST1
372,hsa-miR-542-3p,AKAP11
373,hsa-miR-494-3p,BCAP29
374,hsa-miR-504-5p.1,FKBP4
375,hsa-miR-191-5p,AMMECR1L
376,hsa-miR-431-5p,PIGV
377,hsa-miR-384,SENP1
378,hsa-miR-375,QKI
379,hsa-miR-376c-3p,SENP1
380,hsa-miR-383-5p.2,ANKH
381,hsa-miR-217/hsa-miR-6807-3p,PROX1
382,hsa-miR-1251-5p,AQR
383,hsa-miR-3064-5p/hsa-miR-6504-5p,CELF1
384,hsa-miR-409-5p,APPBP2
385,hsa-miR-362-5p,GSR
386,hsa-miR-193a-3p/hsa-miR-193b-3p,FLI1
387,hsa-miR-411-5p.2,SNAP29
388,hsa-miR-488-3p,NIPAL3
389,hsa-miR-296-3p,FKBP4
390,hsa-miR-335-5p,BPIFB2
391,hsa-miR-877-5p,PRDM4
392,hsa-miR-299-3p,NGFR
393,hsa-miR-154-5p,CDK13
394,hsa-miR-296-5p,PPP2R5B
395,hsa-miR-346,PDZD4
396,hsa-miR-382-5p,APPBP2
397,hsa-miR-153-3p,NFIC
398,hsa-miR-670-3p,GNA11
399,hsa-miR-212-5p,GAN
400,hsa-miR-186-5p,RB1CC1
401,hsa-miR-532-5p,PSMD5
402,hsa-miR-875-5p,APPBP2
403,hsa-miR-505-3p.2,RANBP9
404,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,BCAP29
405,hsa-miR-760,B4GALT7
406,hsa-miR-3184-5p/hsa-miR-423-5p,FKBP4
407,hsa-miR-1197,SEMA4G
408,hsa-miR-485-3p/hsa-miR-539-3p,SENP1
409,hsa-miR-339-5p,HOXA11
410,hsa-miR-665,YBX2
411,hsa-miR-451a,PSMD11
412,hsa-miR-187-3p,LRFN1
413,hsa-miR-328-3p,CTNS
414,hsa-miR-493-3p,CDC27
415,hsa-miR-412-5p,NLRP1
416,hsa-miR-134-5p/hsa-miR-3118,CDK13
417,hsa-miR-147b,DIMT1
418,hsa-miR-503-5p,FGF2
419,hsa-miR-485-5p/hsa-miR-6884-5p,FKBP4
420,hsa-miR-874-3p,PPP5C
421,hsa-miR-329-3p/hsa-miR-362-3p,PANX2
422,hsa-miR-652-3p,ISL1
423,hsa-miR-133a-3p.1,GDNF
424,hsa-miR-450a-5p,GDNF
425,hsa-miR-487b-3p,GLCCI1
426,hsa-miR-331-3p,XYLT2
427,hsa-miR-184,ALDH4A1
428,hsa-miR-615-3p,PSMD11
429,hsa-miR-210-3p,FGFRL1
430,hsa-miR-126-3p.2,KANK2
431,hsa-miR-127-3p,ZC3H4
432,hsa-miR-758-3p,NFE2L3
433,hsa-miR-423-3p,PABPC1
434,hsa-miR-744-5p,PPP5C
435,hsa-miR-490-3p,HNRNPA1
436,hsa-miR-151a-5p/hsa-miR-151b,N4BP1
437,hsa-miR-551a/hsa-miR-551b-3p,MEF2C
438,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,CAMK1G
439,hsa-miR-193a-5p,SENP1
440,hsa-miR-182-5p,BNC2
441,hsa-miR-101-3p.2,PDE7A
442,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,SKIDA1
443,hsa-miR-9-5p,ONECUT1
444,hsa-miR-1271-5p/hsa-miR-96-5p,FRS2
445,hsa-miR-493-5p,PIGV
