,miRNA,Target
28221,hsa-miR-485-3p/hsa-miR-539-3p,WNT11
28222,hsa-miR-339-5p,YWHAZ
28223,hsa-miR-665,CCAR2
28224,hsa-miR-451a,
28225,hsa-miR-187-3p,
28226,hsa-miR-328-3p,NR3C1
28227,hsa-miR-493-3p,H2AFY
28228,hsa-miR-412-5p,
28229,hsa-miR-134-5p/hsa-miR-3118,PATZ1
28230,hsa-miR-147b,
28231,hsa-miR-503-5p,SOCS6
28232,hsa-miR-485-5p/hsa-miR-6884-5p,PLXNA4
28233,hsa-miR-874-3p,FADS1
28234,hsa-miR-329-3p/hsa-miR-362-3p,E2F1
28235,hsa-miR-652-3p,
28236,hsa-miR-133a-3p.1,DNAL1
28237,hsa-miR-450a-5p,
28238,hsa-miR-487b-3p,
28239,hsa-miR-331-3p,DLGAP3
28240,hsa-miR-184,
28241,hsa-miR-615-3p,
28242,hsa-miR-210-3p,
28243,hsa-miR-126-3p.2,
28244,hsa-miR-127-3p,
28245,hsa-miR-758-3p,SGIP1
28246,hsa-miR-423-3p,
28247,hsa-miR-744-5p,
28248,hsa-miR-490-3p,COMMD10
28249,hsa-miR-151a-5p/hsa-miR-151b,
28250,hsa-miR-551a/hsa-miR-551b-3p,
28251,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,PAX5
28252,hsa-miR-193a-5p,GOLGA8N
28253,hsa-miR-182-5p,MYRIP
28254,hsa-miR-101-3p.2,CADM1
28255,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,NPTX1
28256,hsa-miR-9-5p,DYRK1B
28257,hsa-miR-1271-5p/hsa-miR-96-5p,SLC22A23
28258,hsa-miR-493-5p,LRIG1
28259,hsa-miR-499a-5p,FAM168B
28260,hsa-miR-208a-3p/hsa-miR-208b-3p,PPP6C
28261,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,ARF3
28262,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,ST6GALNAC3
28263,hsa-miR-340-5p,ZCCHC11
28264,hsa-miR-142-3p.2,PAM
28265,hsa-miR-144-3p,DYRK1A
28266,hsa-miR-27a-3p/hsa-miR-27b-3p,NGFR
28267,hsa-miR-145-5p/hsa-miR-5195-3p,ZNF516
28268,hsa-miR-101-3p.1,AGO3
28269,hsa-miR-141-3p/hsa-miR-200a-3p,SOCS5
28270,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,KDM3A
28271,hsa-miR-124-3p.1,ATMIN
28272,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,TADA2B
28273,hsa-miR-300/hsa-miR-381-3p,RAB10
28274,hsa-miR-133a-3p.2/hsa-miR-133b,CAPN5
28275,hsa-miR-129-5p,TIPARP
28276,hsa-miR-140-3p.1,FGF9
28277,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,MYCN
28278,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,ZC3H12C
28279,hsa-miR-183-5p.2,PPM1L
28280,hsa-miR-323a-3p,ROCK2
28281,hsa-miR-31-5p,RAB5B
28282,hsa-miR-129-1-3p/hsa-miR-129-2-3p,PAG1
28283,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,SRPK2
28284,hsa-miR-3167/hsa-miR-876-5p,RAB18
28285,hsa-miR-183-5p.1,PAM
28286,hsa-miR-135a-5p/hsa-miR-135b-5p,KLF13
28287,hsa-miR-124-3p.2/hsa-miR-506-3p,RNF11
28288,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,ARPP19
28289,hsa-miR-142-5p/hsa-miR-5590-3p,GINM1
28290,hsa-miR-802,ARID2
28291,hsa-miR-421,PRCP
28292,hsa-miR-103a-3p/hsa-miR-107,MBNL3
28293,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,RPL15
28294,hsa-miR-582-5p,CDC42EP3
28295,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,SLC43A2
28296,hsa-miR-495-3p/hsa-miR-5688,CDK6
28297,hsa-miR-138-5p,HSPA4L
28298,hsa-miR-299-5p,MYPN
28299,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,ZNF148
28300,hsa-miR-137,SKI
28301,hsa-miR-203a-3p.1,EML5
28302,hsa-miR-190a-5p/hsa-miR-190b,GABRB1
28303,hsa-miR-21-5p/hsa-miR-590-5p,FAM46A
28304,hsa-miR-155-5p,RHOQ
28305,hsa-miR-501-3p/hsa-miR-502-3p,KCNC3
28306,hsa-miR-455-3p.1,CPNE4
28307,hsa-miR-10a-5p/hsa-miR-10b-5p,TMEM168
28308,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,FBXO28
28309,hsa-miR-410-3p,DTNA
28310,hsa-miR-543,ATP6V1A
28311,hsa-miR-302c-3p.2/hsa-miR-520f-3p,ATF2
28312,hsa-miR-122-5p,ZBTB41
28313,hsa-miR-142-3p.1,VAMP3
28314,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,SUV39H1
28315,hsa-miR-140-3p.2,PYGO1
28316,hsa-miR-374a-5p/hsa-miR-374b-5p,CTTNBP2NL
28317,hsa-miR-132-3p/hsa-miR-212-3p,MAPT
28318,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
28319,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,PLAG1
28320,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,INHBB
28321,hsa-miR-325-3p,HOXB8
28322,hsa-miR-489-3p,PPP1R9A
28323,hsa-miR-365a-3p/hsa-miR-365b-3p,CHD9
28324,hsa-miR-223-3p,DNAJC6
28325,hsa-miR-653-5p,ZNF281
28326,hsa-miR-139-5p,TCF4
28327,hsa-miR-505-3p.1,DHDDS
28328,hsa-miR-218-5p,CBX7
28329,hsa-miR-202-5p,MYO1C
28330,hsa-miR-483-3p.2,NAALADL2
28331,hsa-miR-24-3p,MAFG
28332,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,TNRC6B
28333,hsa-miR-1298-5p,ZFHX2
28334,hsa-miR-204-5p/hsa-miR-211-5p,GCNT2
28335,hsa-miR-433-3p,SUPT7L
28336,hsa-miR-376a-3p/hsa-miR-376b-3p,BRWD3
28337,hsa-miR-216b-5p,GLIS3
28338,hsa-miR-22-3p,HDAC4
28339,hsa-miR-383-5p.1,SPATS2
28340,hsa-miR-203a-3p.2,XKR7
28341,hsa-miR-455-3p.2,BMPR2
28342,hsa-miR-19a-3p/hsa-miR-19b-3p,BAMBI
28343,hsa-miR-455-5p,FRMPD4
28344,hsa-miR-496.1,POU5F1B
28345,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,SUMO3
28346,hsa-miR-369-3p,UNC5D
28347,hsa-miR-188-5p/hsa-miR-6866-3p,FZD8
28348,hsa-miR-221-3p/hsa-miR-222-3p,RALGAPA1
28349,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,FLOT2
28350,hsa-miR-361-5p,ARCN1
28351,hsa-miR-377-3p,DPYSL5
28352,hsa-miR-224-5p,ADRA1B
28353,hsa-miR-7-5p,PSME3
28354,hsa-miR-126-3p.1,
28355,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,SNX27
28356,hsa-miR-6835-3p,ANLN
28357,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,CHEK1
28358,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,GPR180
28359,hsa-miR-496.2,ZBTB10
28360,hsa-miR-196a-5p/hsa-miR-196b-5p,ZBTB10
28361,hsa-miR-3529-5p/hsa-miR-379-5p,
28362,hsa-miR-374c-5p/hsa-miR-655-3p,SEMA3A
28363,hsa-miR-219a-2-3p,FLRT3
28364,hsa-miR-194-5p,ARID4A
28365,hsa-miR-199a-5p/hsa-miR-199b-5p,BICC1
28366,hsa-miR-28-3p,
28367,hsa-miR-140-5p,UBE2J1
28368,hsa-miR-342-3p,WDR37
28369,hsa-miR-192-5p/hsa-miR-215-5p,RAB32
28370,hsa-miR-409-3p,HMGN5
28371,hsa-miR-382-3p,RAP1A
28372,hsa-miR-483-3p.1,ZNF226
28373,hsa-miR-324-5p,AMHR2
28374,hsa-miR-411-5p.1,
28375,hsa-miR-1224-5p,THRB
28376,hsa-miR-150-5p,E2F3
28377,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,PEF1
28378,hsa-miR-136-5p,RAD23B
28379,hsa-miR-151a-3p,
28380,hsa-miR-873-5p.1,RLIM
28381,hsa-miR-486-5p,EPB41L1
28382,hsa-miR-1306-5p,KCNK10
28383,hsa-miR-491-5p,NFKBID
28384,hsa-miR-33a-5p/hsa-miR-33b-5p,HS3ST4
28385,hsa-miR-544a,ZFYVE9
28386,hsa-miR-425-5p,ZBTB34
28387,hsa-miR-1249-3p,
28388,hsa-miR-330-3p,N4BP2
28389,hsa-miR-379-3p/hsa-miR-411-3p,KRCC1
28390,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,YIPF3
28391,hsa-miR-532-3p,WDR31
28392,hsa-miR-668-3p,GTF2I
28393,hsa-miR-371a-5p,YAF2
28394,hsa-miR-448,MFHAS1
28395,hsa-miR-338-3p,SNX18
28396,hsa-miR-873-5p.2,KDM3B
28397,hsa-miR-205-5p,KMT2A
28398,hsa-miR-326/hsa-miR-330-5p,OTP
28399,hsa-miR-216a-5p,MCC
28400,hsa-miR-154-3p/hsa-miR-487a-3p,ABTB2
28401,hsa-miR-149-5p,NDUFA7
28402,hsa-miR-1193/hsa-miR-370-5p,MINK1
28403,hsa-miR-214-5p,AFF1
28404,hsa-miR-542-3p,INTS5
28405,hsa-miR-494-3p,NCKAP1L
28406,hsa-miR-504-5p.1,GCLM
28407,hsa-miR-191-5p,
28408,hsa-miR-431-5p,ATP6V0E1
28409,hsa-miR-384,SH2B3
28410,hsa-miR-375,STX7
28411,hsa-miR-376c-3p,NTNG1
28412,hsa-miR-383-5p.2,ZXDB
28413,hsa-miR-217/hsa-miR-6807-3p,DYRK1A
28414,hsa-miR-1251-5p,
28415,hsa-miR-3064-5p/hsa-miR-6504-5p,SLC4A4
28416,hsa-miR-409-5p,
28417,hsa-miR-362-5p,EPDR1
28418,hsa-miR-193a-3p/hsa-miR-193b-3p,LRRC8A
28419,hsa-miR-411-5p.2,ZNRF3
28420,hsa-miR-488-3p,SP3
28421,hsa-miR-296-3p,
28422,hsa-miR-335-5p,DCLRE1B
28423,hsa-miR-877-5p,
28424,hsa-miR-299-3p,
28425,hsa-miR-154-5p,PEX5L
28426,hsa-miR-296-5p,LUZP1
28427,hsa-miR-346,MYO5A
28428,hsa-miR-382-5p,KLHL42
28429,hsa-miR-153-3p,FZD3
28430,hsa-miR-670-3p,SUGT1
28431,hsa-miR-212-5p,AMER2
28432,hsa-miR-186-5p,NPR3
28433,hsa-miR-532-5p,SF3A3
28434,hsa-miR-875-5p,
28435,hsa-miR-505-3p.2,CYFIP2
28436,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,SERPING1
28437,hsa-miR-760,ATOH8
28438,hsa-miR-3184-5p/hsa-miR-423-5p,BMPR2
28439,hsa-miR-1197,ZNF827
28440,hsa-miR-485-3p/hsa-miR-539-3p,WIPF2
28441,hsa-miR-339-5p,USP8
28442,hsa-miR-665,LRCH4
28443,hsa-miR-451a,
28444,hsa-miR-187-3p,
28445,hsa-miR-328-3p,NRG2
28446,hsa-miR-493-3p,RNF4
28447,hsa-miR-412-5p,
28448,hsa-miR-134-5p/hsa-miR-3118,TBX20
28449,hsa-miR-147b,
28450,hsa-miR-503-5p,RNF144B
28451,hsa-miR-485-5p/hsa-miR-6884-5p,RAB8B
28452,hsa-miR-874-3p,CDCA7L
28453,hsa-miR-329-3p/hsa-miR-362-3p,GGA1
28454,hsa-miR-652-3p,
28455,hsa-miR-133a-3p.1,CTTNBP2
28456,hsa-miR-450a-5p,
28457,hsa-miR-487b-3p,
28458,hsa-miR-331-3p,CSMD2
28459,hsa-miR-184,
28460,hsa-miR-615-3p,
28461,hsa-miR-210-3p,
28462,hsa-miR-126-3p.2,
28463,hsa-miR-127-3p,
28464,hsa-miR-758-3p,ANGPTL3
28465,hsa-miR-423-3p,
28466,hsa-miR-744-5p,
28467,hsa-miR-490-3p,ERC2
28468,hsa-miR-151a-5p/hsa-miR-151b,
28469,hsa-miR-551a/hsa-miR-551b-3p,
28470,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,CTSE
28471,hsa-miR-193a-5p,IFFO2
28472,hsa-miR-182-5p,LRCH2
28473,hsa-miR-101-3p.2,ABI2
28474,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,CCNY
28475,hsa-miR-9-5p,CBX5
28476,hsa-miR-1271-5p/hsa-miR-96-5p,C20orf194
28477,hsa-miR-493-5p,SETD7
28478,hsa-miR-499a-5p,MAP3K2
28479,hsa-miR-208a-3p/hsa-miR-208b-3p,FZD8
28480,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,PPIG
28481,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,CHRM2
28482,hsa-miR-340-5p,PDGFRA
28483,hsa-miR-142-3p.2,AP5M1
28484,hsa-miR-144-3p,IRS1
28485,hsa-miR-27a-3p/hsa-miR-27b-3p,NRK
28486,hsa-miR-145-5p/hsa-miR-5195-3p,SCARB1
28487,hsa-miR-101-3p.1,CXADR
28488,hsa-miR-141-3p/hsa-miR-200a-3p,MBOAT2
28489,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,SCN1A
28490,hsa-miR-124-3p.1,AMOTL1
28491,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,DMXL2
28492,hsa-miR-300/hsa-miR-381-3p,SCARB2
28493,hsa-miR-133a-3p.2/hsa-miR-133b,CEP85L
28494,hsa-miR-129-5p,METAP1
28495,hsa-miR-140-3p.1,NCKAP1
28496,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,CPEB3
28497,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,DUSP2
28498,hsa-miR-183-5p.2,HSPA2
28499,hsa-miR-323a-3p,SEZ6
28500,hsa-miR-31-5p,FZD4
28501,hsa-miR-129-1-3p/hsa-miR-129-2-3p,KLHL9
28502,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,HIC2
28503,hsa-miR-3167/hsa-miR-876-5p,RNF19B
28504,hsa-miR-183-5p.1,NR3C1
28505,hsa-miR-135a-5p/hsa-miR-135b-5p,ANP32E
28506,hsa-miR-124-3p.2/hsa-miR-506-3p,CHSY1
28507,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,LGR4
28508,hsa-miR-142-5p/hsa-miR-5590-3p,DLD
28509,hsa-miR-802,NEURL4
28510,hsa-miR-421,SRSF7
28511,hsa-miR-103a-3p/hsa-miR-107,AGO3
28512,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,SLX4
28513,hsa-miR-582-5p,BMP10
28514,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,XKR7
28515,hsa-miR-495-3p/hsa-miR-5688,SGCE
28516,hsa-miR-138-5p,CCNL2
28517,hsa-miR-299-5p,TCEAL8
28518,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,NCAM2
28519,hsa-miR-137,GPCPD1
28520,hsa-miR-203a-3p.1,GAN
28521,hsa-miR-190a-5p/hsa-miR-190b,MAP1B
28522,hsa-miR-21-5p/hsa-miR-590-5p,KLHL42
28523,hsa-miR-155-5p,UQCR11
28524,hsa-miR-501-3p/hsa-miR-502-3p,KLF12
28525,hsa-miR-455-3p.1,DLG3
28526,hsa-miR-10a-5p/hsa-miR-10b-5p,RASL10B
28527,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,NUP50
28528,hsa-miR-410-3p,RAB6B
28529,hsa-miR-543,KLHL8
28530,hsa-miR-302c-3p.2/hsa-miR-520f-3p,ZFP36L2
28531,hsa-miR-122-5p,SPOCK2
28532,hsa-miR-142-3p.1,MTCH1
28533,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,STAT3
28534,hsa-miR-140-3p.2,ADAM17
28535,hsa-miR-374a-5p/hsa-miR-374b-5p,KCNN3
28536,hsa-miR-132-3p/hsa-miR-212-3p,EIF4A2
28537,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
28538,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,IKZF4
28539,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,ARFIP1
28540,hsa-miR-325-3p,HOXB1
28541,hsa-miR-489-3p,DCUN1D1
28542,hsa-miR-365a-3p/hsa-miR-365b-3p,ZNRF1
28543,hsa-miR-223-3p,ZBTB10
28544,hsa-miR-653-5p,NMNAT2
28545,hsa-miR-139-5p,GALNT3
28546,hsa-miR-505-3p.1,MYH10
28547,hsa-miR-218-5p,VAT1
28548,hsa-miR-202-5p,PCGF2
28549,hsa-miR-483-3p.2,CLSTN2
28550,hsa-miR-24-3p,NFXL1
28551,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,BHLHE22
28552,hsa-miR-1298-5p,SMYD1
28553,hsa-miR-204-5p/hsa-miR-211-5p,NXPH4
28554,hsa-miR-433-3p,DNAJB12
28555,hsa-miR-376a-3p/hsa-miR-376b-3p,TET1
28556,hsa-miR-216b-5p,PGR
28557,hsa-miR-22-3p,USP37
28558,hsa-miR-383-5p.1,KCNH6
28559,hsa-miR-203a-3p.2,ADPGK
28560,hsa-miR-455-3p.2,ALPL
28561,hsa-miR-19a-3p/hsa-miR-19b-3p,SIN3B
28562,hsa-miR-455-5p,ERBB4
28563,hsa-miR-496.1,NOVA1
28564,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,RGS7BP
28565,hsa-miR-369-3p,SLC6A1
28566,hsa-miR-188-5p/hsa-miR-6866-3p,NTM
28567,hsa-miR-221-3p/hsa-miR-222-3p,PCGF3
28568,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,PDE7A
28569,hsa-miR-361-5p,NFIX
28570,hsa-miR-377-3p,EIF5B
28571,hsa-miR-224-5p,GTPBP2
28572,hsa-miR-7-5p,ANKRD12
28573,hsa-miR-126-3p.1,
28574,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,CALCRL
28575,hsa-miR-6835-3p,RNF141
28576,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,C1orf21
28577,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,SLC30A8
28578,hsa-miR-496.2,CNTNAP5
28579,hsa-miR-196a-5p/hsa-miR-196b-5p,COL24A1
28580,hsa-miR-3529-5p/hsa-miR-379-5p,
28581,hsa-miR-374c-5p/hsa-miR-655-3p,CHKA
28582,hsa-miR-219a-2-3p,TXLNG
28583,hsa-miR-194-5p,GSPT1
28584,hsa-miR-199a-5p/hsa-miR-199b-5p,RLIM
28585,hsa-miR-28-3p,
28586,hsa-miR-140-5p,FKBP4
28587,hsa-miR-342-3p,ANKRD17
28588,hsa-miR-192-5p/hsa-miR-215-5p,KCNK3
28589,hsa-miR-409-3p,TXLNB
28590,hsa-miR-382-3p,SH3PXD2A
28591,hsa-miR-483-3p.1,MEX3C
28592,hsa-miR-324-5p,MAP3K9
28593,hsa-miR-411-5p.1,
28594,hsa-miR-1224-5p,FGFR1
28595,hsa-miR-150-5p,GPAM
28596,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,TAF1
28597,hsa-miR-136-5p,PAX5
28598,hsa-miR-151a-3p,
28599,hsa-miR-873-5p.1,ENTPD5
28600,hsa-miR-486-5p,B3GNT9
28601,hsa-miR-1306-5p,SEMA6C
28602,hsa-miR-491-5p,NFIB
28603,hsa-miR-33a-5p/hsa-miR-33b-5p,FAM120A
28604,hsa-miR-544a,IRS4
28605,hsa-miR-425-5p,HSPH1
28606,hsa-miR-1249-3p,
28607,hsa-miR-330-3p,AP5M1
28608,hsa-miR-379-3p/hsa-miR-411-3p,UQCC1
28609,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,FOXJ3
28610,hsa-miR-532-3p,CDC42BPG
28611,hsa-miR-668-3p,PAX6
28612,hsa-miR-371a-5p,GLUD2
28613,hsa-miR-448,NDUFB9
28614,hsa-miR-338-3p,NRP1
28615,hsa-miR-873-5p.2,SUPT6H
28616,hsa-miR-205-5p,DDX5
28617,hsa-miR-326/hsa-miR-330-5p,PTPN9
28618,hsa-miR-216a-5p,SF3B3
28619,hsa-miR-154-3p/hsa-miR-487a-3p,MTMR10
28620,hsa-miR-149-5p,ZNF597
28621,hsa-miR-1193/hsa-miR-370-5p,PTBP1
28622,hsa-miR-214-5p,NELL2
28623,hsa-miR-542-3p,PGP
28624,hsa-miR-494-3p,CLPB
28625,hsa-miR-504-5p.1,GPC4
28626,hsa-miR-191-5p,
28627,hsa-miR-431-5p,PPIL6
28628,hsa-miR-384,SSX2IP
28629,hsa-miR-375,MAL2
28630,hsa-miR-376c-3p,YTHDF1
28631,hsa-miR-383-5p.2,UBXN10
28632,hsa-miR-217/hsa-miR-6807-3p,AKT3
28633,hsa-miR-1251-5p,
28634,hsa-miR-3064-5p/hsa-miR-6504-5p,COL27A1
28635,hsa-miR-409-5p,
28636,hsa-miR-362-5p,CDKL2
28637,hsa-miR-193a-3p/hsa-miR-193b-3p,GMFB
28638,hsa-miR-411-5p.2,SURF4
28639,hsa-miR-488-3p,DSEL
28640,hsa-miR-296-3p,
28641,hsa-miR-335-5p,SORCS1
28642,hsa-miR-877-5p,
28643,hsa-miR-299-3p,
28644,hsa-miR-154-5p,PSMG4
28645,hsa-miR-296-5p,TAOK3
28646,hsa-miR-346,ROCK1
28647,hsa-miR-382-5p,SMOC1
28648,hsa-miR-153-3p,SCML2
28649,hsa-miR-670-3p,MYO1H
28650,hsa-miR-212-5p,TXLNB
28651,hsa-miR-186-5p,ENPEP
28652,hsa-miR-532-5p,CYSLTR1
28653,hsa-miR-875-5p,
28654,hsa-miR-505-3p.2,GCC1
28655,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,PAK1
28656,hsa-miR-760,PTPN9
28657,hsa-miR-3184-5p/hsa-miR-423-5p,PBX2
28658,hsa-miR-1197,FOSL2
28659,hsa-miR-485-3p/hsa-miR-539-3p,DDHD1
28660,hsa-miR-339-5p,BLCAP
28661,hsa-miR-665,TBC1D16
28662,hsa-miR-451a,
28663,hsa-miR-187-3p,
28664,hsa-miR-328-3p,ULK2
28665,hsa-miR-493-3p,CFL1
28666,hsa-miR-412-5p,
28667,hsa-miR-134-5p/hsa-miR-3118,FOXP2
28668,hsa-miR-147b,
28669,hsa-miR-503-5p,PI4K2B
28670,hsa-miR-485-5p/hsa-miR-6884-5p,KIAA1549L
28671,hsa-miR-874-3p,DCX
28672,hsa-miR-329-3p/hsa-miR-362-3p,MRRF
28673,hsa-miR-652-3p,
28674,hsa-miR-133a-3p.1,PIK3C2A
28675,hsa-miR-450a-5p,
28676,hsa-miR-487b-3p,
28677,hsa-miR-331-3p,CHIC1
28678,hsa-miR-184,
28679,hsa-miR-615-3p,
28680,hsa-miR-210-3p,
28681,hsa-miR-126-3p.2,
28682,hsa-miR-127-3p,
28683,hsa-miR-758-3p,TMEM59
28684,hsa-miR-423-3p,
28685,hsa-miR-744-5p,
28686,hsa-miR-490-3p,SLCO2B1
28687,hsa-miR-151a-5p/hsa-miR-151b,
28688,hsa-miR-551a/hsa-miR-551b-3p,
28689,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,WDR55
28690,hsa-miR-193a-5p,NOVA1
28691,hsa-miR-182-5p,FAM78A
28692,hsa-miR-101-3p.2,DPP10
28693,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,IER3IP1
28694,hsa-miR-9-5p,KCTD12
28695,hsa-miR-1271-5p/hsa-miR-96-5p,SDC2
28696,hsa-miR-493-5p,PSD2
28697,hsa-miR-499a-5p,SLC25A12
28698,hsa-miR-208a-3p/hsa-miR-208b-3p,TGFBR1
28699,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,CASC3
28700,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,LDLRAP1
28701,hsa-miR-340-5p,HRK
28702,hsa-miR-142-3p.2,SOCS5
28703,hsa-miR-144-3p,BHLHE41
28704,hsa-miR-27a-3p/hsa-miR-27b-3p,KLHL31
28705,hsa-miR-145-5p/hsa-miR-5195-3p,RNF170
28706,hsa-miR-101-3p.1,OGT
28707,hsa-miR-141-3p/hsa-miR-200a-3p,CD47
28708,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,JDP2
28709,hsa-miR-124-3p.1,SSH1
